_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;LONG_WGS84;LAT_WGS84
288;Parking ouvrage Graslin;10;DEPLACEMENT;1001;Parking;;;;NANTES;Rue Scribe;02 40 73 08 15;www.nge-nantes.fr;44000;-1.562571816;47.21431021
280;Parking ouvrage Gare Nord;10;DEPLACEMENT;1001;Parking;;;;NANTES;Boulevard de Stalingrad;02 40 74 23 05;www.nge-nantes.fr;44000;-1.544984334;47.21668904
677;Parking ouvrage Commerce;10;DEPLACEMENT;1001;Parking;;;;NANTES;Place du Commerce;02 40 48 19 66;www.nge-nantes.fr;44000;-1.55771322;47.21312029
134;Parking ouvrage Médiathèque;10;DEPLACEMENT;1001;Parking;;;;NANTES;Rue Neuve des Capucins;02 40 69 07 79;www.nge-nantes.fr;44000;-1.562338176;47.21087083
3800;Parking de la Fourche;10;DEPLACEMENT;1001;Parking;;;;LES-SORINIERES;Rue de Nantes;;;44840;-1.533525919;47.15108371
1046;Parking ouvrage Talensac;10;DEPLACEMENT;1001;Parking;;;;NANTES;Rue Le Nôtre;02 40 89 26 50;www.nge-nantes.fr;44000;-1.5583573;47.22025598
1044;Parking ouvrage Cité des Congrès;10;DEPLACEMENT;1001;Parking;;;;NANTES;Avenue Jean Claude Bonduelle;02 40 48 78 64;www.nge-nantes.fr;44000;-1.543971277;47.21290167
1043;Parking ouvrage Aristide Briand;10;DEPLACEMENT;1001;Parking;;;;NANTES;Place Aristide Briand;02 40 47 06 05;;44000;-1.562936418;47.2170936
1045;Parking ouvrage Gare Sud;10;DEPLACEMENT;1001;Parking;;;;NANTES;32 Rue de Cornulier;02 40 08 15 28;;44000;-1.541036828;47.21614964
299;Parking ouvrage Tour Bretagne;10;DEPLACEMENT;1001;Parking;;;;NANTES;4 Place de Bretagne;02 40 47 92 14;www.nge-nantes.fr;44000;-1.558201639;47.21773942
284;Parking ouvrage Decré-Bouffay;10;DEPLACEMENT;1001;Parking;;;;NANTES;18 Rue du Moulin;02 40 47 69 30;;44000;-1.554004632;47.21666262
3951;Parking ouvrage Les Machines;10;DEPLACEMENT;1001;Parking;;;;NANTES;Rue Arthur III;;;44200;-1.562727792;47.20590062
3950;Parking Enclos Courte Durée Gare Nord;10;DEPLACEMENT;1001;Parking;;;;NANTES;Boulevard de Stalingrad;;;44000;-1.543478751;47.21726473
3990;Parking Viviani;10;DEPLACEMENT;1001;Parking;;;;NANTES;Rue René Viviani;;;44200;-1.53619707;47.2087756
3989;Parking Gare Sud 4;10;DEPLACEMENT;1001;Parking;;;;NANTES;Mail Pablo Picasso;;;44000;-1.537545043;47.21520993
3652;Parking ouvrage Cathédrale;10;DEPLACEMENT;1001;Parking;;;;NANTES;Rue Sully;;;44000;-1.551056168;47.22081335
3651;Parking enclos CHU;10;DEPLACEMENT;1001;Parking;;;;NANTES;Quai de Tourville;;;44000;-1.557250234;47.20936197
3650;Parking enclos Bellamy;10;DEPLACEMENT;1001;Parking;;;;NANTES;Impasse de la Courtine;;;44000;-1.557693693;47.22236042
3590;Parking Enclos Gare limité 1h;10;DEPLACEMENT;1001;Parking;;;;NANTES;Quai de Malakoff;;;44000;-1.542675139;47.21520212
3589;Parking enclos Gare Sud 2;10;DEPLACEMENT;1001;Parking;;;;NANTES;Quai de Malakoff;;;44000;-1.541343376;47.21423404
3555;Parking enclos Gare Sud 3;10;DEPLACEMENT;1001;Parking;;;;NANTES;Rue Marcel Paul;;;44000;-1.537894828;47.21613586
3554;Parking enclos Château;10;DEPLACEMENT;1001;Parking;;;;NANTES;Rue Henri IV;;;44000;-1.54785045;47.21698996
3551;Parking enclos Baco-LU;10;DEPLACEMENT;1001;Parking;;;;NANTES;Allée Baco;;;44000;-1.549872883;47.21385525
3550;Parking enclos Hôtel Dieu;10;DEPLACEMENT;1001;Parking;;;;NANTES;Chaussée de la Madeleine;;;44000;-1.551983112;47.21105709
3549;Parking enclos Feydeau;10;DEPLACEMENT;1001;Parking;;;;NANTES;Allée de l'Ile Gloriette;;;44000;-1.55843873;47.21117966
3655;Parking relais Maraîchers;10;DEPLACEMENT;1002;Parking relais;;;;VERTOU;Rue de la Grand' Maison;;;44120;-1.510859656;47.18530279
